 ,mz,mzmin,mzmax,rt,rtmin,rtmax,npeaks,CRR,HCC,X20100607_LT_serum_and_plasma_NEG_41101,X20100607_LT_serum_and_plasma_NEG_42001,X20100607_LT_serum_and_plasma_NEG_42101,isotopes,adduct,pcgroup,two batch common,three batch common,B1 flg,B2 flg,B3 flg,Query Mass,Name,Formula,Exact Mass,PPM Error,PubChem CID,HMDB,LIPID MAPS,KEGG,MMCD,METLIN,parser
35,122.023356,122.0225195,122.0244298,139.6000879,138.9766099,140.3084119,373,255,118,261913.756,227875.3425,245350.0008,[1][M]+,,1,1,1,1,1,1,,,,,,,,,,,,
36,122.0857143,122.0736931,122.0936,139.6029797,136.9783445,147.8710032,330,206,101,334.0415272,585.6309955,450.8665604,,,188,0,0,1,0,0,122.0857143,1-Allyl-3-methylimidazolium,C7H11N2,123.0922234,6,,,,,,319997,-1
37,122.1378552,122.1244806,122.1433833,139.5494515,137.4350534,142.1698341,360,244,114,1094.739399,1080.639276,1279.937706,,,1,0,0,1,0,0,,,,,,,,,,,,
38,122.3030486,122.2937579,122.3135931,139.5266324,137.7389725,140.8075119,383,253,116,1275.801562,1303.090782,1442.746652,,,1,0,0,1,0,0,,,,,,,,,,,,
39,122.9702448,122.9636641,122.9836529,139.6032055,137.1390369,142.0871809,354,232,107,964.4031227,1177.628018,1048.003631,,,1,0,0,1,0,0,,,,,,,,,,,,
40,123.0264111,123.0243725,123.0277293,139.5973393,138.9140858,140.2117419,373,255,118,20021.45028,17614.96499,17441.62259,[1][M+1]+,,1,1,1,1,1,1,,,,,,,,,,,,
41,123.0722844,123.0636625,123.0836315,139.5980134,137.0052648,143.7597507,376,247,111,1397.597237,1128.70386,1154.010963,,,189,0,0,1,0,0,,,,,,,,,,,,
42,124.0117658,124.0054553,124.0194264,23.5178117,21.43548472,24.67602235,373,255,118,400.4496982,315.9564697,309.702432,,,39,1,1,1,1,1,,,,,,,,,,,,
43,124.0280511,124.0194916,124.0334564,139.597012,138.6242506,140.5369397,373,255,118,1837.325213,1609.134642,2245.792284,[1][M+2]+,,1,1,1,1,1,1,,,,,,,,,,,,
44,124.0875168,124.0737426,124.0936364,139.5639256,136.5825109,143.7581745,323,208,106,801.7975524,246.4580925,559.7466825,,,186,0,0,1,0,0,124.0875168,"1H-1,2,4-Triazole, 1-(1,1-dimethylethyl)-",C6H11N3,125.0952974,4,,,,,,335463,-1
